"number_overall","season","number_in_season","episode_name","animation_direction_by","written_and_storyboarded_by","original_air_date","us_viewers_mil","imdb_rating"
"232","8","2","Cool Bro Bots","Robert Alvarez","Benton Connor, Sam Spina","2016-09-26","1.14","8.1"
"233","8","3","Welcome to Space","Robert Alvarez","Madeline Queripel, Alex Cline","2016-09-27","0.96","8.7"
"234","8","4","Space Creds","Robert Alvarez","Casey Crowe, Gideon Chase","2016-09-27","0.96","8.1"
"235","8","5","Lost and Found","Robert Alvarez","Minty Lewis, Ryan Pequin","2016-09-28","0.96","7.7"
"236","8","6","Ugly Moons","Robert Alvarez","Benton Connor, Sam Spina","2016-09-29","0.98","8.2"
"237","8","7","The Dream Warrior","Robert Alvarez","Madeline Queripel, Alex Cline","2016-09-30","1.09","8.9"
"238","8","8","The Brain of Evil","Robert Alvarez","Owen Dennis, Sean Glaze","2016-10-03","0.82","8"
"239","8","9","Fries Night","Robert Alvarez","Casey Crowe, Gideon Chase","2016-10-04","0.95","8.3"
"240","8","10","Spacey McSpaceTree","Robert Alvarez, Brian Sheesley","Benton Connor, Sam Spina","2016-10-05","1.04","7.9"
"241","8","11","Can You Ear Me Now?","Robert Alvarez, Brian Sheesley","Madeline Queripel, Alex Cline","2016-10-06","0.92","8.2"
"242","8","12","Stuck in an Elevator","Robert Alvarez, Brian Sheesley","Casey Crowe, Gideon Chase","2016-10-07","0.95","8.3"
"243","8","13","The Space Race","Robert Alvarez","Owen Dennis, Sean Glaze","2016-10-10","0.93","9.2"
"244","8","14","Operation: Hear No Evil","Robert Alvarez","Minty Lewis, Ryan Pequin","2016-10-11","0.91","8.6"
"245","8","15","Space Escape","Robert Alvarez","Benton Connor, Sam Spina","2016-10-12","0.84","9.4"
"246","8","16","New Beds","Robert Alvarez","Madeline Queripel, Alex Cline","2016-10-13","1.15","8.5"
"247","8","17","Mordeby and Rigbecai","Robert Alvarez","Casey Crowe, Gideon Chase","2016-10-14","0.88","8.5"
"248","8","18","Alpha Dome","Brian Sheesley, Robert Alvarez","Owen Dennis, Sean Glaze","2016-10-20","0.99","8.4"
"249","8","19","Terror Tales of the Park VI","Robert Alvarez, Brian Sheesley","Sean Glaze, Owen Dennis, Minty Lewis, Ryan Pequin","2016-10-27","1.05","8.5"
"250","8","20","Terror Tales of the Park VI","Robert Alvarez, Brian Sheesley","Sean Glaze, Owen Dennis, Minty Lewis, Ryan Pequin","2016-10-27","1.05","8.5"
"251","8","21","The Ice Tape","Robert Alvarez","Madeline Queripel, Alex Cline","2016-11-03","0.92","8.7"
"252","8","22","The Key to the Universe","Robert Alvarez","Casey Crowe, Gideon Chase","2016-11-10","1.02","8.5"
"253","8","23","No Train No Gain","Robert Alvarez","Owen Dennis, Sean Glaze","2016-11-17","0.99","9.5"
"254","8","24","Christmas in Space","Robert Alvarez, Brian Sheesley","Minty Lewis, Ryan Pequin, Benton Connor, Sam Spina","2016-12-01","0.92","8.5"
"255","8","25","Christmas in Space","Robert Alvarez, Brian Sheesley","Minty Lewis, Ryan Pequin, Benton Connor, Sam Spina","2017-12-01","0.92","8.5"
"256","8","26","Kill 'Em with Kindness","Robert Alvarez, Jeff Hall","Minty Lewis, Ryan Pequin","2017-01-14","1.08","9.2"
"257","8","27","Meet the Seer","Robert Alvarez, Jeff Hall","Benton Connor, Sam Spina","2017-01-14","1.08","9.6"
"258","8","28","Cheer Up Pops","Robert Alvarez, Jeff Hall","Casey Crowe, Gideon Chase","2017-01-16","1.33","9.5"
"259","8","29","A Regular Epic Final Battle","Robert Alvarez, Richard Collado, Jeff Hall","J.G. Quintel, Madeline Queripel, Alex Cline, Minty Lewis, Ryan Pequin, Andres Salaff, Benton Connor, Owen Dennis, Sam Spina","2017-01-16","1.33","9.9"
"260","8","30","A Regular Epic Final Battle","Robert Alvarez, Richard Collado, Jeff Hall","J.G. Quintel, Madeline Queripel, Alex Cline, Minty Lewis, Ryan Pequin, Andres Salaff, Benton Connor, Owen Dennis, Sam Spina","2017-01-16","1.37","9.9"
"261","8","31","A Regular Epic Final Battle","Robert Alvarez, Richard Collado, Jeff Hall","J.G. Quintel, Madeline Queripel, Alex Cline, Minty Lewis, Ryan Pequin, Andres Salaff, Benton Connor, Owen Dennis, Sam Spina","2017-01-16","1.37","9.9"
