"number_overall","season","number_in_season","episode_name","animation_direction_by","written_and_storyboarded_by","original_air_date","us_viewers_mil","imdb_rating"
"125","5","5","Wall Buddy","Robert Alvarez ","Calvin Wong, Minty Lewis","2013-09-23","2.12","7.2"
"126","5","6","A Skips in Time","Robert Alvarez ","Calvin Wong, Toby Jones","2013-09-30","1.94","8.9"
"127","5","7","Survival Skills","Robert Alvarez ","Minty Lewis","2013-10-14","1.87","8.3"
"128","5","8","Terror Tales of the Park III","Robert Alvarez ","Calvin Wong, Toby Jones, Benton Connor, Andres Salaff","2013-10-21","2.29","9"
"129","5","9","Terror Tales of the Park III","Robert Alvarez ","Calvin Wong, Toby Jones, Benton Connor, Andres Salaff","2013-10-21","2.29","9"
"130","5","10","Tants","Robert Alvarez ","Hilary Florido, Madeline Queripel","2013-11-04","2.07","7.8"
"131","5","11","Bank Shot","Robert Alvarez ","Owen Dennis, Sarah Oleksyk","2013-11-11","1.99","9"
"132","5","12","Power Tower","Robert Alvarez ","Benton Connor, Andres Salaff","2013-11-18","2.09","7.1"
"133","5","13","The Thanksgiving Special","J. G. Quintel and Mike Roth, Robert Alvarez ","Calvin Wong, Toby Jones, Benton Connor, Andres Salaff","2013-11-25","3.04","9.2"
"134","5","14","The Thanksgiving Special","J. G. Quintel and Mike Roth, Robert Alvarez ","Calvin Wong, Toby Jones, Benton Connor, Andres Salaff","2013-11-25","3.04","9.2"
"135","5","15","The Heart of a Stuntman","Robert Alvarez","Calvin Wong, Minty Lewis","2013-12-02","2.03","7.9"
"136","5","16","New Year's Kiss","Robert Alvarez ","Hilary Florido, Madeline Queripel","2013-12-31","1.84","9.2"
"137","5","17","Dodge This","Robert Alvarez ","Benton Connor, Andres Salaff","2014-01-13","2.05","8.9"
"138","5","18","Portable Toilet","Robert Alvarez ","Toby Jones, Owen Dennis","2014-01-27","1.89","8.6"
"139","5","19","The Postcard","Robert Alvarez ","Hilary Florido, Madeline Queripel","2014-02-10","1.89","8.3"
"140","5","20","Rigby in the Sky with Burrito","Robert Alvarez ","Hilary Florido, Madeline Queripel","2014-02-24","1.85","7.9"
"141","5","21","Journey to the Bottom of the Crash Pit","Robert Alvarez ","Benton Connor, Sarah Oleksyk","2014-03-03","1.48","8.1"
"142","5","22","Saving Time","Robert Alvarez ","Andres Salaff, Ryan Pequin","2014-03-10","1.86","8.3"
"143","5","23","Guitar of Rock","Robert Alvarez ","Andres Salaff, Ryan Pequin","2014-03-17","2.05","8.3"
"144","5","24","Skips' Story","Robert Alvarez ","Calvin Wong, Minty Lewis","2014-04-14","2.72","9.6"
"145","5","25","Skips' Story","Robert Alvarez ","Calvin Wong, Minty Lewis","2014-04-14","2.72","9.6"
"146","5","26","Return of Mordecai and the Rigbys","Robert Alvarez ","Calvin Wong, Minty Lewis","2014-04-21","2.67","8.1"
"147","5","27","Bad Portrait","Robert Alvarez ","Owen Dennis, Toby Jones","2014-04-28","1.96","7.9"
"148","5","28","Video 101","Robert Alvarez ","Benton Connor, Sarah Oleksyk","2014-05-05","2.14","8"
"149","5","29","I Like You Hi","Robert Alvarez ","Toby Jones, Owen Dennis","2014-05-12","","8.9"
"150","5","30","Play Date","Robert Alvarez ","Hilary Florido, Madeline Queripel","2014-06-05","2.12","8.8"
"151","5","31","Expert or Liar","Robert Alvarez ","Benton Connor, Sarah Oleksyk","2014-06-12","1.73","8.1"
"152","5","32","Catching the Wave","Robert Alvarez ","Calvin Wong, Minty Lewis","2014-06-19","1.86","7.6"
"153","5","33","Gold Watch","Robert Alvarez ","Andres Salaff, Ryan Pequin","2014-06-26","2.11","8.6"
"154","5","34","Paint Job","Robert Alvarez ","Toby Jones, Owen Dennis","2014-07-03","1.9","7.8"
"155","5","35","Take the Cake","Robert Alvarez ","Hilary Florido, Madeline Queripel","2014-07-10","2.18","8"
